# Creation le 07/12/2009
#
# Thèses / Ph.D dissertations
#
# Ce fichier est utilisé pour créer les pages html des Thèses (publi.ph.xxx.html)
# 7 champs sont possibles et le séparateur de champ est |
# Les lignes doivent commencer et finir avec un |
# Le format d'une ligne est :
# |année xxxx|Auteur|Titre|Références (type,lieu,mention..)|Directeur(s)|Nom du fichier pdf|
#
# Attention il ne doit pas y avoir " dans les champs
# On peut les remplacer par leur code en html ==> &quot;
#
1993|Olivier Pouliquen|Instabilit&#233;s et solitons de phase &#224; l'interface de deux fluides non miscibles|Th&#232;se de doctorat, &#201;cole Polytechnique, Palaiseau, 1993. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Co-directeurs de th&#232;se : J.M. Chomaz &amp; P. Huerre|O.Pouliquen.PhD.pdf|
1994|St&#233;phane Le&nbsp;Diz&#232;s|Modes globaux dans les &#233;coulements faiblement inhomog&#232;nes|PhD thesis, &#201;cole Polytechnique, Palaiseau, 1994. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Co-directeurs de th&#232;se : J.M. Chomaz &amp; P. Huerre|S.Le-Dizes.PhD.pdf|
1995|Karen Amram|Etude num&#233;rique des instabilit&#233;s dans les couches de m&#233;lange compressibles|Th&#232;se de doctorat, &#201;cole Polytechnique, Palaiseau, 1995. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Co-directeurs de th&#232;se : J.M. Chomaz &amp; P. Huerre|K.Amram.PhD.pdf|
1996|Pierre Brancher|Etude num&#233;rique des instabilit&#233;s secondaires de jets|Th&#232;se de doctorat, &#201;cole Polytechnique, Palaiseau, 1996. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Directeur de th&#232;se : J.M. Chomaz|P.Brancher.PhD.pdf|
1997|A.&nbsp;Couairon|Modes globaux fortement non-lin&#233;aires dans les&#233;coulements ouverts|Th&#232;se de doctorat, &#201;cole Polytechnique, Palaiseau, 1997. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Directeur de th&#232;se : J.M. Chomaz|A.Couairon.PhD.pdf|
1998|Ivan Delbende|R&#233;ponse impulsionnelle dans les jets tournants et les sillages plans : analyse spatio-temporelle par simulation num&#233;rique directe|Th&#232;se de doctorat, &#201;cole Polytechnique, Palaiseau, 1998. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Co-directeurs de th&#232;se : P. Huerre &amp; J. M. Chomaz|I.Delbende.PhD.pdf|
1998|Ana&#235;l Lema&#238;tre|Syst&#232;mes chaotiques coupl&#233;s : comportements collectifs et universalit&#233;|Th&#232;se de doctorat, &#201;cole Polytechnique, Palaiseau, 1998. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Directeur de th&#232;se : P. Manneville|A.Lemaitre.PhD.pdf|
1999|Paul Billant|Dynamique d'une paire de tourbillons verticaux en milieu stratifi&#233;|PhD thesis, &#201;cole Polytechnique, Palaiseau, 1999. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Directeur de th&#232;se : J.M. Chomaz|P.Billant.PhD.pdf|
1999|Thomas Loiseleux|Instabilit&#233; dans les jets tournants|PhD thesis, &#201;cole Polytechnique, Palaiseau, 1999. Mention: &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Co-directeurs de th&#232;se : P. Huerre &amp; J.M. Chomaz||
1999|Cornel Olendraru|Etude spatio-temporelle de jets et sillages tournants|Th&#232;se de doctorat, &#201;cole Polytechnique, Palaiseau, 1999. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Directeur de th&#232;se : A. Sellier|C.Olendraru.PhD.pdf|
1999|Beno&#238;t Pier|Comportement non lin&#233;aire synchronis&#233; dans les &#233;coulements cisaill&#233;s|PhD thesis, &#201;cole Polytechnique, Palaiseau, 1999. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Directeur de th&#232;se : P. Huerre|B.Pier.PhD.pdf|
1999|Christian Ruyer-Quil|Dynamique d'un film mince s'&#233;coulant le long d'un plan inclin&#233;|PhD thesis, &#201;cole Polytechnique, Palaiseau, 1999. Mention : &quot;Tr&#232;s honorable avec f&#233;licitations&quot;|Directeur de th&#232;se : P. Manneville|C.Ruyer-Quil.PhD.pdf|
2000|Stephanie Julien|Instabilités secondaires dans les sillages|PhD thesis, &#201;cole Polytechnique, Palaiseau, 2000. Mention : &quot;Très honorable avec félicitations&quot;|Directeur de thèse : J.-M. Chomaz|S.Julien.PhD.pdf|
2001|Olivier Doaré|Instabilités locales et globales en interaction fluide-structure|PhD thesis, &#201;cole Polytechnique, Palaiseau, 2001. Mention : &quot;Très honorable avec félicitations&quot;|Directeur de thèse : E. de Langre|O.Doare.PhD.pdf|
2002|François Gallaire|Instabilités d'un jet tournant et contrôle de l'éclatement tourbillonnaire|PhD thesis, &#201;cole Polytechnique, Palaiseau, 2002. Mention : &quot;Très honorable avec félicitations&quot;|Directeur de thèse : J.-M. Chomaz|F.Gallaire.PhD.pdf|
2003|Facchinetti M.L|Un modèle phénoménologique des vibrations induites par détachement tourbillonnaire|PhD thesis, &#201;cole Polytechnique, Palaiseau, 2003. Mention : &quot;Très honorable avec félicitations&quot;|Directeur de thèse : E. de Langre|M.Facchinetti.PhD.pdf|
2004|Godoy-Diana R|Dynamique des tourbillons pancake en milieu stratifié : diffusion et interaction ondes-tourbillons|PhD thesis, &#201;cole Polytechnique, Palaiseau, 2004. Mention : &quot;Très honorable avec félicitations&quot;|Directeur de thèse : J.-M. Chomaz|R.Godoy-Diana.PhD.pdf|
2005|Othéguy P|Dynamique de l'appariement tourbillonnaire en milieu stratifié et stratifié tournant|PhD thesis, &#201;cole Polytechnique, Palaiseau, 2005. Mention : &quot;Très honorable avec félicitations&quot;|Directeurs de thèse : J.-M. Chomaz et Paul Billant|P.Otheguy.PhD.pdf|
2005|Py C|Couplage entre la dynamique du vent et le mouvement d'un couvert végétal|PhD thesis, &#201;cole Polytechnique, Palaiseau, 2005. Mention : &quot;Très honorable avec félicitations&quot;|Directeur de thèse : Emmanuel de Langre|C.Py.PhD.pdf|
2005|Salsac A.-V|Évolution des contraintes hémodynamiques lors de la croissance des anévrismes aortiques abdominaux|PhD thesis, UCSD, &#201;cole Polytechnique, Palaiseau et University of California San Diego 2005. Mention : &quot;Très honorable avec félicitations&quot;|Directeurs de thèse : J.-M. Chomaz et J. C. Lasheras|A-V.Salsac.PhD.pdf|
2006|Lagha M|Modeling the transition to turbulence in plane Couette flow|Th&egrave;se de doctorat, &Eacute;cole Polytechnique 2006. Mention : &quot;Tr&egrave;s honorable&quot;|Directeur de th&egrave;se : P. Manneville|M.Lagha.PhD.pdf|
