1991|Ed4|sellier1991rp-2|Une formulation par matrice d&#39;influence des &#233;quations de navier-stokes incompressibles en variables vitesse-tourbillon|Ausellier Auguermond|Stpub|313&#40;II&#41;|1507|1512|Rsno|Ppno|Dr11||
1991|Ed4|sellier1991rp-1|Sur la formulation vitesse-tourbillon des &#233;quations de navier-stokes en &#233;coulement incompressible|Ausellier Audaube Auguermond|Stpub|313&#40;II&#41;|377|382|Rsno|Ppno|Dr11||
1994|Ed23|sellier1994rp-1|Asymptotic expansions of a class of integrals|Ausellier|Stpub|445|693|710|Rsno|Ppno|Dr11||
1994|Ed23|sellier1994rp-2|Hadamard&#39;s finite part concept in dimension n&#62;2&#44; distributional definition&#44; regularization forms and distributional derivatives|Ausellier|Stpub|445|69|98|Rsno|Ppno|Dr11||
1996|Ed19|pouliquen1996rp-1|Stress fluctuations and shear zones in quasistatic granular chute flows|Aupouliquen Augutfraind|Stpub|53|552|561|Rsno|Ppno|Dr11||
1996|Ed20|pouliquen1996rp-2|Onset of granular flows on a inclined rough surface&#58; dilatancy effects|Aupouliquen Aurenaut|Stpub|6|923|935|Rsno|Ppno|Dr11||
1997|Ed17|pouliquen1997rp-1|Entropy of particle packings&#58; an illustration on a toy model|Aupouliquen Aumonasson|Stpub|236|395|410|Rsno|Ppno|Dr11||
2003|Ed48|matteo2003rp-3|Numerical and experimental modal analysis of the reed and pipe of a clarinet|Aumatteo Auboutillon Auconstantinescu|Stpub|113 &#40;5&#41;|2874|2883|Rsno|Ppno|Dr8||
2001|Ed43|ueda2001rp-1|Low-Reynolds-Number flow around an impulsively started rotating and translating circular cylinder|Auueda Aukida Aunakanishi Ausellier|Stpub|67-659|1623|1633|Rsno|Ppno|Dr7||
2005|Ed29|lemaitrec2005rp-1|Instability of a long ribbon hanging in axial air flow|Aulemaitrec Auhemon Audelangre|Stpub|20|913|925|Rsno|Pppd|Dr5||
2005|Ed31|mathelin2005rp-1|Vortex-induced vibrations and waves under shear flow with a wake oscillator model|Aumathelin Audelangre|Stpub|24|478|490|Rsno|Pppd|Dr5|Kw10|
2005|Ed54|py2005rp-1|Measurement of wind-induced motion of crop canopies from digital video images|Aupy Audelangre Auhemon Aumoulia|Stpub|130|223|236|Rsno|Pppd|Dr5|Kw18|
2006|Ed40|lemaitrec2006rp-1|Rainwater rivulets on a cable subject to wind|Aulemaitrec Aualam Auhemon Audelangre Auzhou|Stpub|334|158|163|Rsno|Pppd|Dr5||
2006|Ed29|delangre2006rp-2|Frequency lock-in is caused by coupled-mode flutter|Audelangre|Stpub|22|783|791|Rsno|Pppd|Dr5|Kw10|
2006|Ed35|riverin2006rp-1|Fluctuating forces caused by internal two-phase flow on bends and tees|Auriverin Audelangre Aupettigrew|Stpub|298|1088|1098|Rsno|Pppd|Dr5||
