2017|P.&nbsp;Hémon, X.&nbsp;Amandolèse and T.&nbsp;Andrianne.|Energy harvesting of prisms&#58; a wind tunnel experiment|Journal&nbsp;of&nbsp;Fluids&nbsp;and&nbsp;Structures,|70:390-402||hemon2017rp-1pp.pdf|
2017|E.&nbsp;Virot, D.&nbsp;Faranda, X.&nbsp;Amandolèse and P.&nbsp;Hémon.|Chaotic Dynamics of Flags from Recurring Values of Flapping Moment|International&nbsp;Journal&nbsp;of&nbsp;Bifurcation&nbsp;and&nbsp;Chaos,|27&#44; Issue 2||virot2017rp-1pp.pdf|
2016|G.&nbsp;Amselem, C.&nbsp;Guermonprez, B.&nbsp;Drogue, S.&nbsp;Michelin and C.&nbsp;Baroud.|Universal microfluidic platform for bioassays in anchored droplets|Lab&nbsp;on&nbsp;Chip,|16:4200-4211||amselem2016rp-1pp.pdf|
2016|E.&nbsp;Antoine, F.&nbsp;Cornat and A.&nbsp;Barakat.|The stentable in vitro artery&#58; an instrumented platform for endovascular device development and optimization|Journal&nbsp;of&nbsp;the&nbsp;Royal&nbsp;Society&nbsp;Interface,|13&#44; Issue 125&#44; 20160834|||
2016|G.&nbsp;Antoine, E.&nbsp;de&nbsp;Langre and S.&nbsp;Michelin.|Optimal energy harvesting from Vortex-Induced Vibrations of cables|Proceedings&nbsp;of&nbsp;the&nbsp;Royal&nbsp;Society&nbsp;A,|472 - 20160583||antoineg2016rp-1pp.pdf|
2016|C.&nbsp;Arratia, S.&nbsp;Ortiz and J.&nbsp;M.&nbsp;Chomaz.|Inviscid Transient Growth on Horizontal Shear Layers with Strong Vertical Stratification|Nonlinear&nbsp;Dynamics:&nbsp;Materials,&nbsp;Theory&nbsp;and&nbsp;Experiments,|173:199-206|||
2016|R.&nbsp;Basu, BM.&nbsp;Whitlock, J.&nbsp;Husson, A.&nbsp;Le&nbsp;Floc'h, W.&nbsp;Jin, F.&nbsp;Dotiwala, G.&nbsp;Giannone, C.&nbsp;Hivroz, J.&nbsp;Lieberman, L.&nbsp;C.&nbsp;Kam and M.&nbsp;Huse.|Cytotoxic T cells use mechanical force to potentiate target cell killing|Cell,|165:100-110||basu2016rp-1pp.pdf|
2016|S.&nbsp;Beneddine, D.&nbsp;Sipp, N.&nbsp;Arnault, J.&nbsp;Dandois and L.&nbsp;Lesshafft.|Conditions for validity of mean flow stability analysis|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|798:485-504|||
2016|M.&nbsp;Blanchard, P.&nbsp;J.&nbsp;Schmid, D.&nbsp;Sipp and T.&nbsp;Schuller.|Pressure wave generation from perturbed premixed flames|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|797:231-246|||
2016|J.&nbsp;M.&nbsp;Chomaz.|It is time to think the Anthropocene &#33; A manifesto Accepted in Leonardo.||chomaz2016rp-1pp.pdf|
2016|B.&nbsp;Darbois-Texier, C.&nbsp;Cohen, D.&nbsp;Quere and C.&nbsp;Clanet.|Physics of knuckleballs|New&nbsp;journal&nbsp;of&nbsp;Physics,|18 - 073027|||
2016|N.&nbsp;Dovetta, P.&nbsp;J.&nbsp;Schmid and D.&nbsp;Sipp.|Uncertainty propagation in model extraction by system identification and its implication for control design|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|791:214-236|||
2016|P.&nbsp;Drobinski, B.&nbsp;Alonzo, S.&nbsp;Bastin, N.&nbsp;Da&nbsp;Silva and C.&nbsp;Muller.|Scaling of precipitation extremes with temperature in the French Mediterranean region&#58; What explains the hook shape&#63;|Journal&nbsp;of&nbsp;Geophysical&nbsp;Reasearch-Atmospheres,|121 - issue 7:3100-3119|||
2016|C.&nbsp;Duprat and H.&nbsp;A.&nbsp;Stone.|Elastocapillarity|Fluids&nbsp;Structure&nbsp;Interactions&nbsp;in&nbsp;Low-Reynolds&nbsp;Number&nbsp;Flow,|4:193-243|||
2016|F.&nbsp;Feuillebois, M.&nbsp;L.&nbsp;Ekiel-Jezewska, E.&nbsp;Wajnryb, A.&nbsp;Sellier and J.&nbsp;Blawzdziewicz.|High-frequency effective viscosity of a dilute suspension of particles in Poiseuille flow between parallel walls|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|800:111-139|||
2016|C.&nbsp;Frot, N.&nbsp;Taccoen and C.&nbsp;Baroud.|Frugal droplet microfluidics using consumer OPto-Electronics|Plos&nbsp;One,|11&#44; Issue 8&#44; e0161490|||
2016|A.&nbsp;Gauthier, J.&nbsp;Bird, C.&nbsp;Clanet and D.&nbsp;Quere.|Aerodynamic Leidenfrost effect|Physical&nbsp;Review&nbsp;Fluids,|1&#44; Issue 8&#44; 084002|||
2016|D.&nbsp;Gonzalez-Rodriguez, P-H. and E.&nbsp;de&nbsp;Langre.|Turgidity-dependent petiole flexibility enables efficient water use by a tree subjected to water stress|Journal&nbsp;of&nbsp;Theoretical&nbsp;Biology,|398:20-31|||
2016|D.&nbsp;Gonzalez-Rodriguez, S.&nbsp;Sart, A.&nbsp;Babataheri, D.&nbsp;Tareste, A.&nbsp;Barakat, C.&nbsp;Clanet and J.&nbsp;Husson.|Elastocapillary Instability in Mitochondrial Fission|Biophysical&nbsp;Journal,|110&#44; Issue 3:472 A-472 A|||
2016|C.&nbsp;Gouget, Y.&nbsp;Hwang and A.&nbsp;Barakat.|Model of cellular mechanotransduction via actin stress fibers|Biomechanics&nbsp;and&nbsp;Modeling&nbsp;In&nbsp;Mechanobiology,|15:331-344||gouget2016rp-1pp.pdf|
2016|M.&nbsp;Guemas, A.&nbsp;Sellier and F.&nbsp;Pigeonneau.|Low-Reynolds number rising of a bubble near a free surface at vanishing Bond number|Physics&nbsp;of&nbsp;Fluids,|28 - issue 6 - 063102|||
2016|L.&nbsp;Guillou, A.&nbsp;Babataheri, P.&nbsp;H.&nbsp;Puech, A.&nbsp;Barakat and J.&nbsp;Husson.|Dynamic monitoring of cell mechanical properties using profile microindentation|Scientific&nbsp;Reports,|6 - 21529||guillou2016rp-1pp.pdf|
2016|L.&nbsp;Guillou, J.&nbsp;B.&nbsp;Dhal, J-M.&nbsp;G.&nbsp;Lin, A.&nbsp;Barakat, J.&nbsp;Husson, S.&nbsp;J.&nbsp;Muller and S.&nbsp;Kumar.|Measuring cell viscoelastic mechanical properties using a microfluidic extensional flow device Biophysical&nbsp;Journal, In press.||guillou2016rp-2pp.pdf|
